SERVICE_x,OPERATOR_x,A/D_x,AC_x,SEAT_x,TY_x,O/D_x,TROUND_x,FLIGHT_DATE_x,DATETIME_x,LINK_x,SERVICE_y,OPERATOR_y,A/D_y,AC_y,SEAT_y,TY_y,O/D_y,TROUND_y,FLIGHT_DATE_y,DATETIME_y,ID,LINK_y
D83502,D8,A,73H,186.0,J,CPH,D8 3503 ,2018-04-01 00:00:00,2018-04-01 14:25:00,D1912,D83503,D8,D,73H,186.0,J,CPH,D8 3502 ,2018-04-01 00:00:00,2018-04-01 14:55:00,D1912,1.0
LM305,LM,A,D38,31.0,J,NWI,LM 306  ,2018-04-01 00:00:00,2018-04-01 14:35:00,D343,LM306,LM,D,D38,31.0,J,NWI,LM 305  ,2018-04-01 00:00:00,2018-04-01 15:05:00,D343,1.0
EZY233,EZY,A,320,186.0,J,STN,EZY486  ,2018-04-01 00:00:00,2018-04-01 14:35:00,D538,EZY426,EZY,D,320,186.0,J,BRS,EZY425  ,2018-04-01 00:00:00,2018-04-01 15:25:00,D538,1.0
D81641,D8,A,7M8,189.0,J,OSL,D8 1600 ,2018-04-01 00:00:00,2018-04-01 14:40:00,D1508,D81600,D8,D,7M8,189.0,J,SWF,D8 1641 ,2018-04-01 00:00:00,2018-04-01 16:10:00,D1508,1.0
FR6696,FR,A,73H,189.0,J,MLA,FR 6652 ,2018-04-01 00:00:00,2018-04-01 14:45:00,D2148,FR6652,FR,D,73H,189.0,J,AGP,FR 6696 ,2018-04-01 00:00:00,2018-04-01 15:40:00,D2148,1.0
AF1486,AF,A,E90,100.0,J,CDG,AF 1487 ,2018-04-01 00:00:00,2018-04-01 14:45:00,D1491,AF1487,AF,D,E90,100.0,J,CDG,AF 1486 ,2018-04-01 00:00:00,2018-04-01 15:25:00,D1491,1.0
EI3256,EI,A,AT7,72.0,J,DUB,EI 3257 ,2018-04-01 00:00:00,2018-04-01 14:45:00,D1875,EI3257,EI,D,AT7,72.0,J,DUB,EI 3256 ,2018-04-01 00:00:00,2018-04-01 15:15:00,D1875,1.0
EZY425,EZY,A,320,186.0,J,BRS,EZY426  ,2018-04-01 00:00:00,2018-04-01 14:55:00,D2389,EZY6959,EZY,D,320,186.0,J,NCE,EZY809  ,2018-04-01 00:00:00,2018-04-01 16:55:00,D2389,1.0
BE211,BE,A,DH4,78.0,J,EXT,BE 212  ,2018-04-01 00:00:00,2018-04-01 15:00:00,D178,BE212,BE,D,DH4,78.0,J,EXT,BE 211  ,2018-04-01 00:00:00,2018-04-01 15:25:00,D178,1.0
SN2063,SN,A,319,141.0,J,BRU,SN 2064 ,2018-04-01 00:00:00,2018-04-01 15:10:00,D1586,SN2064,SN,D,319,141.0,J,BRU,SN 2063 ,2018-04-01 00:00:00,2018-04-01 15:55:00,D1586,1.0
