SERVICE,OPERATOR,A/D,AC,SEAT,TY,O/D,TROUND,FLIGHT_DATE,DATETIME,ID,LINK
FR1049,FR,D,73H,189.0,J,KTW,FR 1108 ,2018-04-01 00:00:00,2018-04-01 16:55:00,D1126,1
EW1713,EW,D,32A,180.0,J,MUC,EW 1712 ,2018-04-01 00:00:00,2018-04-01 16:55:00,D1557,1
EZY6983,EZY,D,320,186.0,J,CPH,EZY427  ,2018-04-01 00:00:00,2018-04-01 17:00:00,D2450,1
EZY488,EZY,D,320,186.0,J,BFS,EZY6924 ,2018-04-01 00:00:00,2018-04-01 17:00:00,D614,1
EZY428,EZY,D,320,186.0,J,BRS,EZY485  ,2018-04-01 00:00:00,2018-04-01 17:00:00,D545,1
EZY6913,EZY,D,319,156.0,J,MUC,EZY6956 ,2018-04-01 00:00:00,2018-04-01 17:05:00,D2239,1
LM357,LM,D,SF3,33.0,J,LSI,LM 398  ,2018-04-01 00:00:00,2018-04-01 17:10:00,D453,1
EZY6957,EZY,D,319,156.0,J,CDG,EZY237  ,2018-04-01 00:00:00,2018-04-01 17:15:00,D2374,1
FR8888,FR,D,73H,189.0,J,STN,FR 2685 ,2018-04-01 00:00:00,2018-04-01 17:15:00,D2671,1
BE2109,BE,D,DH4,78.0,J,LHR,BE 266  ,2018-04-01 00:00:00,2018-04-01 17:20:00,D1658,1
EZY6931,EZY,D,320,186.0,J,HAM,EZY6978 ,2018-04-01 00:00:00,2018-04-01 17:35:00,D2316,1
BE296,BE,D,DH4,78.0,J,MAN,BE 295  ,2018-04-01 00:00:00,2018-04-01 17:40:00,D321,1
BA1459,BA,D,319,143.0,J,LHR,BA 1452 ,2018-04-01 00:00:00,2018-04-01 17:45:00,D1443,1
FR7352,FR,D,73H,189.0,J,CRL,FR 7835 ,2018-04-01 00:00:00,2018-04-01 17:45:00,D2500,1
FR2674,FR,D,73H,189.0,J,CPH,FR 1077 ,2018-04-01 00:00:00,2018-04-01 17:45:00,D1725,1
BE853,BE,D,DH4,78.0,J,BHX,BE 850  ,2018-04-01 00:00:00,2018-04-01 17:50:00,D1048,1
EZY812,EZY,D,320,186.0,J,LGW,EZY6908 ,2018-04-01 00:00:00,2018-04-01 17:55:00,D884,1
BE772,BE,D,DH4,78.0,J,SOU,BE 771  ,2018-04-01 00:00:00,2018-04-01 18:00:00,D799,1
EZY430,EZY,D,320,186.0,J,BRS,EZY6996 ,2018-04-01 00:00:00,2018-04-01 18:00:00,D558,1
EZY240,EZY,D,320,186.0,J,STN,EZY487  ,2018-04-01 00:00:00,2018-04-01 18:00:00,D219,1
EW9365,EW,D,32A,180.0,J,DUS,EW 9364 ,2018-04-01 00:00:00,2018-04-01 18:05:00,D2689,1
BE267,BE,D,DH4,78.0,J,EMA,BE 1342 ,2018-04-01 00:00:00,2018-04-01 18:25:00,D270,1
D88471,D8,D,73H,186.0,J,CPH,D8 8470 ,2018-04-01 00:00:00,2018-04-01 18:30:00,D2549,1
BE691,BE,D,DH4,78.0,J,BHD,BE 769  ,2018-04-01 00:00:00,2018-04-01 18:30:00,D686,1
FR8824,FR,D,73H,189.0,J,STN,FR 1053 ,2018-04-01 00:00:00,2018-04-01 18:35:00,D2644,1
AY1374,AY,D,E90,100.0,J,HEL,AY 1373 ,2018-04-01 00:00:00,2018-04-01 18:40:00,D1340,1
WK311,WK,D,320,180.0,J,ZRH,WK 310  ,2018-04-01 00:00:00,2018-04-01 18:40:00,D371,1
EZY6925,EZY,D,320,180.0,J,AMS,EZY6926 ,2018-04-01 00:00:00,2018-04-01 18:40:00,D2297,1
BA1463,BA,D,319,143.0,J,LHR,BA 1454 ,2018-04-01 00:00:00,2018-04-01 18:45:00,D1468,1
EI3259,EI,D,AT7,72.0,J,DUB,EI 3258 ,2018-04-01 00:00:00,2018-04-01 18:50:00,D1890,1
BA8719,BA,D,E70,76.0,J,LCY,BA 8708 ,2018-04-01 00:00:00,2018-04-01 18:55:00,D2636,0
FR6826,FR,D,73H,189.0,J,FAO,FR 6827 ,2018-04-01 00:00:00,2018-04-01 18:55:00,D2200,1
FR9304,FR,D,73H,189.0,J,GRO,FR 9303 ,2018-04-01 00:00:00,2018-04-01 19:00:00,D2684,1
SK2546,SK,D,73G,141.0,J,ARN,SK 2545 ,2018-04-01 00:00:00,2018-04-01 19:05:00,D1714,1
VY7816,VY,D,320,180.0,J,BCN,VY 7815 ,2018-04-01 00:00:00,2018-04-01 19:05:00,D2516,1
FR4383,FR,D,73H,189.0,J,HHN,FR 4382 ,2018-04-01 00:00:00,2018-04-01 19:10:00,D1982,1
EZY2686,EZY,D,320,186.0,J,MXP,EZY2685 ,2018-04-01 00:00:00,2018-04-01 19:15:00,D1756,1
LS6477,LS,D,73H,189.0,C,ZAZ,LS 706  ,2018-04-01 00:00:00,2018-04-01 19:20:00,D2092,1
BE693,BE,D,DH4,78.0,J,BHD,BE 694  ,2018-04-01 00:00:00,2018-04-01 19:25:00,D689,1
BA1465,BA,D,320,168.0,J,LHR,BA 1458 ,2018-04-01 00:00:00,2018-04-01 19:35:00,D1483,1
EZY490,EZY,D,320,186.0,J,BFS,EZY6940 ,2018-04-01 00:00:00,2018-04-01 19:55:00,D625,1
EZY20,EZY,D,320,186.0,J,LTN,EZY19   ,2018-04-01 00:00:00,2018-04-01 19:55:00,D79,1
SK2542,SK,D,73H,181.0,J,ARN,SK 2541 ,2018-04-01 00:00:00,2018-04-01 19:55:00,D1700,1
EZY814,EZY,D,320,186.0,J,LGW,EZY811  ,2018-04-01 00:00:00,2018-04-01 20:15:00,D902,1
EI3807,EI,D,AT7,70.0,J,ORK,EI 3808 ,2018-04-01 00:00:00,2018-04-01 20:15:00,D1977,1
BA2945,BA,D,319,144.0,J,LGW,BA 2944 ,2018-04-01 00:00:00,2018-04-01 20:20:00,D1817,1
FR819,FR,D,73H,189.0,J,DUB,FR 818  ,2018-04-01 00:00:00,2018-04-01 20:40:00,D947,1
BE4508,BE,D,E95,118.0,J,CWL,BE 4507 ,2018-04-01 00:00:00,2018-04-01 21:00:00,D2014,1
EZY432,EZY,D,320,186.0,J,BRS,EZY431  ,2018-04-01 00:00:00,2018-04-01 21:15:00,D571,1
AF1887,AF,D,32A,174.0,J,CDG,AF 1886 ,2018-04-02 00:00:00,2018-04-02 04:55:00,D1572,1
SN2066,SN,D,319,141.0,J,BRU,SN 2065 ,2018-04-02 00:00:00,2018-04-02 04:55:00,D1601,1
KL1276,KL,D,73H,186.0,J,AMS,KL 1293 ,2018-04-02 00:00:00,2018-04-02 05:00:00,D1194,1
EZY6901,EZY,D,320,186.0,J,SVQ,EZY429  ,2018-04-02 00:00:00,2018-04-02 05:00:00,D2209,1
EZY6961,EZY,D,320,186.0,J,PRG,EZY489  ,2018-04-02 00:00:00,2018-04-02 05:00:00,D2398,1
EZY802,EZY,D,320,186.0,J,LGW,EZY6984 ,2018-04-02 00:00:00,2018-04-02 05:05:00,D844,1
EZY232,EZY,D,320,186.0,J,STN,EZY239  ,2018-04-02 00:00:00,2018-04-02 05:10:00,D181,1
FR6626,FR,D,73H,189.0,J,ACE,FR 8887 ,2018-04-02 00:00:00,2018-04-02 05:10:00,D2133,1
BE2101,BE,D,DH4,78.0,J,LHR,BE 2108 ,2018-04-02 00:00:00,2018-04-02 05:20:00,D1622,1
