SERVICE_x,OPERATOR_x,AC_x,SEAT_x,TY_x,O/D_x,TROUND_x,DATETIME_x,SERVICE_y,SEAT_y,TY_y,O/D_y,DATETIME_y,TURN_MINUTES
LS858,LS,73C,148.0,J,AGP,LS 775  ,2018-04-08 13:40:00,LS815,148.0,J,FAO,2018-04-08 14:45:00,65
BE1336,BE,DH4,78.0,J,LCY,BE 849  ,2018-04-08 13:40:00,BE294,78.0,J,MAN,2018-04-08 14:20:00,40
KL1285,KL,73W,142.0,J,AMS,KL 1286 ,2018-04-08 13:55:00,KL1286,142.0,J,AMS,2018-04-08 14:45:00,50
TK1345,TK,73H,165.0,J,IST,TK 1346 ,2018-04-08 14:00:00,TK1346,165.0,J,IST,2018-04-08 14:55:00,55
LS848,LS,73C,148.0,J,DBV,LS 787  ,2018-04-08 14:05:00,LS775,148.0,J,ALC,2018-04-08 14:45:00,40
EZY15,EZY,320,186.0,J,LTN,EZY808  ,2018-04-08 14:10:00,EZY426,186.0,J,BRS,2018-04-08 15:25:00,75
EZY807,EZY,320,186.0,J,LGW,EZY16   ,2018-04-08 14:10:00,EZY486,186.0,J,BFS,2018-04-08 15:25:00,75
BE688,BE,DH4,78.0,J,BHD,BE 2107 ,2018-04-08 14:20:00,BE2107,78.0,J,LHR,2018-04-08 14:50:00,30
D83502,D8,73H,186.0,J,CPH,D8 3503 ,2018-04-08 14:25:00,D83503,186.0,J,CPH,2018-04-08 14:55:00,30
EZY233,EZY,320,186.0,J,STN,EZY486  ,2018-04-08 14:35:00,EZY6959,186.0,J,NCE,2018-04-08 16:55:00,140
LM305,LM,D38,31.0,J,NWI,LM 306  ,2018-04-08 14:35:00,LM306,31.0,J,NWI,2018-04-08 15:05:00,30
D81641,D8,7M8,189.0,J,OSL,D8 1600 ,2018-04-08 14:40:00,D81600,189.0,J,SWF,2018-04-08 16:10:00,90
AF1486,AF,E90,100.0,J,CDG,AF 1487 ,2018-04-08 14:45:00,AF1487,100.0,J,CDG,2018-04-08 15:25:00,40
FR6696,FR,73H,189.0,J,MLA,FR 6652 ,2018-04-08 14:45:00,FR6652,189.0,J,AGP,2018-04-08 15:40:00,55
EI3256,EI,AT7,72.0,J,DUB,EI 3257 ,2018-04-08 14:45:00,EI3257,72.0,J,DUB,2018-04-08 15:15:00,30
EZY425,EZY,320,186.0,J,BRS,EZY426  ,2018-04-08 14:55:00,EZY428,186.0,J,BRS,2018-04-08 17:00:00,125
BE211,BE,DH4,78.0,J,EXT,BE 212  ,2018-04-08 15:00:00,BE212,78.0,J,EXT,2018-04-08 15:25:00,25
SN2063,SN,319,141.0,J,BRU,SN 2064 ,2018-04-08 15:10:00,SN2064,141.0,J,BRU,2018-04-08 15:55:00,45
BE848,BE,DH4,78.0,J,BHX,BE 851  ,2018-04-08 15:30:00,BE851,78.0,J,BHX,2018-04-08 16:15:00,45
LM336,LM,SF3,33.0,J,WIC,LM 355 A,2018-04-08 15:40:00,LM391,33.0,J,KOI,2018-04-09 00:00:00,1000
BA1448,BA,319,143.0,J,LHR,BA 2931 ,2018-04-08 15:45:00,BA1445,143.0,J,LHR,2018-04-09 00:00:00,1270
EZY17,EZY,319,156.0,J,LTN,EZY18   ,2018-04-08 15:45:00,EZY6913,156.0,J,MUC,2018-04-08 17:05:00,80
BE769,BE,DH4,78.0,J,SOU,BE 691  ,2018-04-08 16:00:00,BE1343,78.0,J,LCY,2018-04-08 16:45:00,45
KL1289,KL,E90,100.0,J,AMS,KL 1290 ,2018-04-08 16:00:00,KL1290,100.0,J,AMS,2018-04-08 16:30:00,30
LM356,LM,SF3,33.0,J,LSI,LM 351  ,2018-04-08 16:10:00,LM341,34.0,J,SYY,2018-04-09 00:00:00,990
EW1712,EW,32A,180.0,J,MUC,EW 1713 ,2018-04-08 16:15:00,EW1713,180.0,J,MUC,2018-04-08 16:55:00,40
LM348A,LM,SF3,34.0,J,SYY,LM 399 A,2018-04-08 16:15:00,LM353,33.0,J,LSI,2018-04-09 00:00:00,990
BE656,BE,DH4,78.0,J,NOC,BE 1343 ,2018-04-08 16:20:00,BE2109,78.0,J,LHR,2018-04-08 17:20:00,60
LH964,LH,321,195.0,J,FRA,LH 965  ,2018-04-08 16:25:00,LH965,195.0,J,FRA,2018-04-08 17:10:00,45
EZY809,EZY,320,186.0,J,LGW,EZY6959 ,2018-04-08 16:25:00,EZY488,186.0,J,BFS,2018-04-08 17:00:00,35
EZY6924,EZY,320,186.0,J,AMS,EZY488  ,2018-04-08 16:30:00,EZY6983,186.0,J,CPH,2018-04-08 17:00:00,30
LM398,LM,SF3,33.0,J,KOI,LM 357  ,2018-04-08 16:30:00,LM335,34.0,J,WIC,2018-04-09 00:00:00,1080
EZY485,EZY,320,186.0,J,BFS,EZY428  ,2018-04-08 16:30:00,EZY6931,186.0,J,HAM,2018-04-08 17:35:00,65
FR1108,FR,73H,189.0,J,EIN,FR 1049 ,2018-04-08 16:30:00,FR1049,189.0,J,KTW,2018-04-08 16:55:00,25
EZY427,EZY,320,186.0,J,BRS,EZY6983 ,2018-04-08 16:35:00,EZY812,186.0,J,LGW,2018-04-08 17:55:00,80
EZY6956,EZY,319,156.0,J,CDG,EZY6913 ,2018-04-08 16:35:00,EZY6957,156.0,J,CDG,2018-04-08 17:15:00,40
EZY237,EZY,319,156.0,J,STN,EZY6957 ,2018-04-08 16:45:00,EZY6983,156.0,J,CPH,2018-04-09 00:00:00,810
BA1452,BA,319,143.0,J,LHR,BA 1459 ,2018-04-08 16:50:00,BA2941,144.0,J,LGW,2018-04-09 00:00:00,1215
FR2685,FR,73H,189.0,J,STN,FR 8888 ,2018-04-08 16:50:00,FR8888,189.0,J,STN,2018-04-08 17:15:00,25
BE266,BE,DH4,78.0,J,EMA,BE 2109 ,2018-04-08 17:00:00,BE296,78.0,J,MAN,2018-04-08 17:40:00,40
